dataset	condition	mode	n_runs	median_elapsed_wall_seconds	q1_elapsed_wall_seconds	q3_elapsed_wall_seconds	iqr_elapsed_wall_seconds	median_max_rss_kb	q1_max_rss_kb	q3_max_rss_kb	iqr_max_rss_kb	median_total_fragments	median_total_bases	median_weighted_fragments	median_weighted_bases	median_mean_weighted_length
maize_b73_refgenv5	B1	fragments_tsv	3	8.040000	7.940000	8.210000	0.270000	1471392.000000	1468652.000000	1543272.000000	74620.000000	273936.000000	50449616.000000	273936.000000	50449616.000000	184.165703
maize_b73_refgenv5	B1	json	3	8.000000	7.560000	8.010000	0.450000	1478528.000000	1467384.000000	1482176.000000	14792.000000	273936.000000	50449616.000000	273936.000000	50449616.000000	184.165703
maize_b73_refgenv5	B2	fragments_tsv	3	7.830000	7.800000	7.990000	0.190000	1541172.000000	1488092.000000	1557808.000000	69716.000000	161593.000000	57934851.000000	161593.000000	57934851.000000	358.523271
maize_b73_refgenv5	B2	json	3	7.600000	7.320000	8.010000	0.690000	1477688.000000	1472356.000000	1483412.000000	11056.000000	161593.000000	57934851.000000	161593.000000	57934851.000000	358.523271
