dataset	jobs	n_runs	median_elapsed_wall_seconds	q1_elapsed_wall_seconds	q3_elapsed_wall_seconds	iqr_elapsed_wall_seconds	median_max_rss_kb	q1_max_rss_kb	q3_max_rss_kb	iqr_max_rss_kb	median_completed_pairs	median_pairs_per_second	speedup_vs_jobs1	parallel_efficiency_vs_jobs1
maize_b73_refgenv5	1	3	507.020000	502.920000	514.190000	11.270000	2481064.000000	2481004.000000	2482260.000000	1256.000000	45.000000	0.088754	1.000000	1.000000
maize_b73_refgenv5	4	3	137.970000	136.390000	139.040000	2.650000	2479468.000000	2478040.000000	2479788.000000	1748.000000	45.000000	0.326158	3.674857	0.918714
maize_b73_refgenv5	8	3	79.630000	78.460000	80.140000	1.680000	2477820.000000	2477764.000000	2479644.000000	1880.000000	45.000000	0.565114	6.367198	0.795900
