dataset	condition	tool	task	timing_scope	output_object	n_runs	median_elapsed_wall_seconds	q1_elapsed_wall_seconds	q3_elapsed_wall_seconds	median_max_rss_kb	process_max_rss_kb	median_fragments	median_bases	notes
yeast_small_plain	B1	Digital_RADs.py	digital_rads_interval	cold_command	normalized interval set	5	0.420000	0.415000	0.425000	16996.000000		3117.000000	558663.000000	
yeast_small_plain	B1	radigest	radigest_count	cold_command	aggregate JSON count	5	0.030000	0.030000	0.040000	18656.000000		3117.000000	558663.000000	
yeast_small_plain	B1	radigest	radigest_interval	cold_command	normalized interval set	5	0.080000	0.080000	0.105000	19184.000000		3117.000000	558663.000000	
yeast_small_plain	B1	SimRAD	simrad_count	cold_command	aggregate count	5	9.470000	8.995000	11.865000	868368.000000		3076.000000	553363.000000	multi-record FASTA: SimRAD ref.DNAseq concatenates records; count-level comparison may differ from per-record digest engines
yeast_small_plain	B1	SimRAD	simrad_warm_reload_reference	warm_package_reload_reference	aggregate count	5	1.778	1.718	3.358		891616	3076	553363	SimRAD package loaded once; each timed run reloads reference and performs digest/adapt/size-selection; process_max_rss_kb is peak RSS for the whole warm R session, not a per-run median
yeast_small_plain	B1	DDRADSEQTOOLS	rsitesearch_interval	cold_command	normalized interval set	5	1.340000	1.215000	1.390000	61716.000000		3117	558663	DDRADSEQTOOLS timing includes Package/rsitesearch.py digest-level fragment generation plus coordinate normalization; broader read simulation, adapter, PCR, allele-dropout, and preprocessing workflows are excluded.
