dataset	species	enzyme_pair	nominal_min	nominal_max	score_min	score_max	observed_pairs	observed_tlen_min	observed_tlen_q01	observed_tlen_q05	observed_tlen_q25	observed_tlen_median	observed_tlen_q75	observed_tlen_q95	observed_tlen_q99	observed_tlen_max	observed_tlen_mean	observed_fraction_below_min	observed_fraction_in_window	observed_fraction_above_max	best_model	best_model_params	best_model_delta_aic	best_model_kl	best_model_obs_mean	best_model_pred_mean	best_model_obs_pairs	best_model_pred_weight_sum	hard_model	hard_raw_fragments_scored	hard_raw_bases_scored	hard_raw_fragments_in_window	hard_raw_bases_in_window	hard_weighted_fragments	hard_weighted_bases	hard_mean_weighted_length	weighted_model	weighted_raw_fragments_scored	weighted_raw_bases_scored	weighted_raw_fragments_in_window	weighted_raw_bases_in_window	weighted_fragments	weighted_bases	weighted_mean_weighted_length	weighted_minus_hard_fragments	weighted_minus_hard_bases	weighted_fragment_ratio_vs_hard	weighted_base_ratio_vs_hard	sample_count	sample_pairs_min	sample_pairs_median	sample_pairs_max	sample_mean_tlen_min	sample_mean_tlen_median	sample_mean_tlen_max	tlens	fit_table	hard_json	weighted_json	sample_summary	notes
sockeye_ddrad	Oncorhynchus nerka	EcoRI+MseI	200	400	1	2000	106247606	2	63	90	155	222	294	458	649	1717	238.681	0.410015	0.506845	0.083140	soft-window	size_edge_sd=55	0.000	0.129275	238.68	238.03	106247606	151340.372	hard	668828	139447677	127385	36120561	127385	36120561	283.554272	soft-window	668828	139447677	127385	36120561	151340.371513	36023982.011620	238.032864	23955.371513	-96578.988380	1.188055	0.997326	75	2713.000	891275.000	9396479.000	157.226	237.837	468.416	results/processed/empirical_recovery/sockeye_ddrad/all.tlens.tsv	results/tables/sockeye_ddrad.size_model_fit.tsv	results/processed/empirical_recovery/sockeye_ddrad/hard_window.json	results/processed/empirical_recovery/sockeye_ddrad/empirical_weighted.json	results/tables/sockeye_ddrad.tlen_sample_summary.tsv	Empirical recovery model fit to pooled positive TLENs. This reflects size selection, short-fragment representation, PCR, sequencing, mapping, and filtering effects; it is not a pure wet-lab size-selection probability.
trichoderma_ddrad	Trichoderma atroviride	SphI+MspI	200	500	1	2000	6964895	4	57	94	152	199	261	410	525	674	217.057	0.502588	0.481980	0.015432	normal	size_mean=246,size_sd=100	0.000	0.127388	217.06	216.19	6964895	6603.671	hard	18467	6239572	5672	1854723	5672	1854723	326.996298	normal	18467	6239572	5672	1854723	6603.670715	1427616.832509	216.185345	931.670715	-427106.167491	1.164258	0.769720	30	44393.000	238911.000	454703.000	185.404	221.219	264.775	results/processed/empirical_recovery/trichoderma_ddrad/all.tlens.tsv	results/tables/trichoderma_ddrad.size_model_fit.tsv	results/processed/empirical_recovery/trichoderma_ddrad/hard_window.json	results/processed/empirical_recovery/trichoderma_ddrad/empirical_weighted.json	results/tables/trichoderma_ddrad.tlen_sample_summary.tsv	Empirical recovery model fit to pooled positive TLENs. This reflects size selection, short-fragment representation, PCR, sequencing, mapping, and filtering effects; it is not a pure wet-lab size-selection probability.
