dataset_id	display_name	reference_path	format	scope	required_for_smoke	notes
synthetic_tiny	Synthetic tiny validation	data/synthetic/synthetic_validation.fa	fasta	validation	true	Tracked synthetic FASTA for Stage 2 validation.
comparator_smoke_single	Comparator EcoRI-MseI smoke synthetic	data/synthetic/comparator_ecori_msei_smoke.fa	fasta	comparators	false	Tracked single-record synthetic FASTA used for all comparator smoke checks with tool-specific claim boundaries.
small_yeast_s288c_plain	Saccharomyces cerevisiae S288C R64 plain FASTA	data/reference/small_yeast_s288c.fa	fasta	reviewer_nonempirical	false	Small public yeast reference prepared in Stage 3.
small_yeast_s288c_gzip	Saccharomyces cerevisiae S288C R64 gzip FASTA	data/reference/small_yeast_s288c.fa.gz	fasta_gzip	reviewer_nonempirical	false	Small public yeast reference prepared in Stage 3.
moderate_cannabis_pink-pepper_plain	Cannabis sativa Pink Pepper ASM2916894v1 plain FASTA	data/reference/moderate_cannabis_pink-pepper.fa	fasta	reviewer_nonempirical	false	Moderate-size cannabis cultivar reference prepared in Stage 3.
moderate_cannabis_pink-pepper_gzip	Cannabis sativa Pink Pepper ASM2916894v1 gzip FASTA	data/reference/moderate_cannabis_pink-pepper.fa.gz	fasta_gzip	reviewer_nonempirical	false	Moderate-size cannabis cultivar reference prepared in Stage 3.
large_wheat_chinese-spring_plain	Triticum aestivum Chinese Spring IWGSC CS RefSeq v2.1 plain FASTA	data/reference/large_wheat_chinese-spring.fa	fasta	large_reference	false	Large public wheat reference required for nonempirical performance runs.
large_wheat_chinese-spring_gzip	Triticum aestivum Chinese Spring IWGSC CS RefSeq v2.1 gzip FASTA	data/reference/large_wheat_chinese-spring.fa.gz	fasta_gzip	large_reference	false	Large public wheat reference required for nonempirical performance runs.
sockeye_ecori_msei	Sockeye EcoRI-MseI empirical BAM set	data/reference/sockeye_oner_uvic_2_0.fa	empirical	empirical	false	Publication empirical BAM-directory dataset using GCF_034236695.1_Oner_Uvic_2.0; BAM/BAI files are supplied locally.
