library_id	display_name	enabled	include_for_manuscript	source_type	bam_dir	bam_glob	bam_index_suffix	reference_id	reference_path	enzyme_1	enzyme_2	min_size	max_size	score_min	score_max	size_model	size_edge_sd	protocol_prior_length_bias_beta_per_bp	min_mapq	exclude_duplicates	max_tlen	notes
sockeye_ecori_msei	Sockeye EcoRI-MseI empirical BAM directory	true	true	local_bam_dir	data/empirical/sockeye_ecori_msei/bam	*.bam	.bai	sockeye_oner_uvic_2_0	data/reference/sockeye_oner_uvic_2_0.fa	EcoRI	MseI	200	400	1	1200	soft-window	50	0.005	20	true	2000	Publication Sockeye EcoRI-MseI BAM-directory row for GCF_034236695.1_Oner_Uvic_2.0. Copy or symlink all EcoRI-MseI BAM/BAI files into data/empirical/sockeye_ecori_msei/bam before running make reviewer-all. Publication protocol prior is a 200-400 bp insert-space soft-window with edge SD 50 and short-insert bias beta 0.005/bp.
trichoderma_sphi_mspi	Trichoderma SphI-MspI empirical BAM directory	false	false	local_bam_dir	data/empirical/trichoderma_sphi_mspi/bam	*.bam	.bai	trichoderma_asm2064779v1	data/reference/trichoderma_asm2064779v1.fa	SphI	MspI	200	400	1	1200	soft-window	50	0.005	20	true	2000	Disabled local BAM-directory row for GCF_020647795.1_ASM2064779v1; copy or symlink all SphI-MspI BAMs into data/empirical/trichoderma_sphi_mspi/bam and set enabled=true when ready. Publication protocol prior is a 200-400 bp insert-space soft-window with edge SD 50 and short-insert bias beta 0.005/bp.
anopheles_ecori_msei	Anopheles darlingi EcoRI-MseI public ddRAD SRA dataset	true	true	sra_fastq	data/empirical/anopheles_ecori_msei/bam	*.bam	.bai	anopheles_darlingi_gcf943734745	data/reference/anopheles_darlingi_gcf943734745.fa	EcoRI	MseI	200	250	1	1200	soft-window	50	0.005	20	true	2000	Enabled public SRA subset for PRJNA298241 Anopheles darlingi EcoRI-MseI paired-end ddRAD data; reported 350-400 bp gel excision including library adapters and PE150 sequencing. The SRA alignment workflow fetches and aligns enabled runs from config/empirical_sra_runs.tsv. Initial insert-space protocol prior is 200-250 bp with soft-window edge SD 50 and short-insert bias beta 0.005/bp.
rhododendron_dpnII_mspI	Rhododendron molle DpnII-MspI public ddRAD SRA dataset	true	true	sra_fastq	data/empirical/rhododendron_dpnII_mspI/bam	*.bam	.bai	rhododendron_molle_gca025413875	data/reference/rhododendron_molle_gca025413875.fa	DpnII	MspI	200	400	1	1200	soft-window	50	0.005	20	true	2000	Enabled public SRA subset for Rhododendron molle DpnII-MspI ddRAD data from Plants 14:1548 (doi:10.3390/plants14101548); paper reports DpnII+MspI digestion, 300-500 bp library insert selection, and Illumina NovaSeq paired-end 2x500 sequencing. radigest fragment length excludes adapters and indexes, so this row uses a provisional 200-400 bp insert-space prior; verify read length and insert-space window from FASTQ/TLEN summaries before manuscript use.
