library_id	bioproject_accession	biosample_accession	experiment_accession	run_accession	platform	layout	read_length	enabled	include	notes
anopheles_ecori_msei	PRJNA298241	SAMN04202422	SRX1428226	SRR3173372	ILLUMINA	PAIRED	150	true	true	A11G105; Anopheles darlingi EcoRI/MseI reduced representation paired-end subset for initial SRA validation.
anopheles_ecori_msei	PRJNA298241	SAMN04202420	SRX1428228	SRR3173376	ILLUMINA	PAIRED	150	true	true	A11G102; Anopheles darlingi EcoRI/MseI reduced representation paired-end subset for initial SRA validation.
rhododendron_dpnII_mspI	TO_VERIFY	TO_VERIFY	TO_VERIFY	SRR32570991	ILLUMINA	PAIRED	500	true	true	Rhododendron molle DpnII-MspI ddRAD public run; accession metadata and observed read length should be verified from SRA/FASTQ before manuscript use.
rhododendron_dpnII_mspI	TO_VERIFY	TO_VERIFY	TO_VERIFY	SRR32570992	ILLUMINA	PAIRED	500	true	true	Rhododendron molle DpnII-MspI ddRAD public run; accession metadata and observed read length should be verified from SRA/FASTQ before manuscript use.
