case_id	dataset_id	reference_path	condition_id	candidate_enzymes	min_size	max_size	score_min	score_max	size_model	jobs	radigest_threads	runs	comparison_group	required_for_nonempirical	command_template	notes
pair_screen_scaling_cannabis_pink-pepper_B2_jobs1	moderate_cannabis_pink-pepper_plain	data/reference/moderate_cannabis_pink-pepper.fa	B2	config/candidate_enzymes.txt	300	600	1	2000	hard	1	1	10	moderate_cannabis_pink-pepper_B2_cached	false	radigest-screen-pairs-cached	Five-enzyme smoke/proof-of-wiring pair-screen job-scaling baseline; not used for reviewer speedup claims because only 10 pairs are evaluated.
pair_screen_scaling_cannabis_pink-pepper_B2_jobs2	moderate_cannabis_pink-pepper_plain	data/reference/moderate_cannabis_pink-pepper.fa	B2	config/candidate_enzymes.txt	300	600	1	2000	hard	2	1	10	moderate_cannabis_pink-pepper_B2_cached	false	radigest-screen-pairs-cached	Five-enzyme smoke/proof-of-wiring pair-screen job-scaling run; not used for reviewer speedup claims because only 10 pairs are evaluated.
pair_screen_scaling_cannabis_pink-pepper_B2_jobs4	moderate_cannabis_pink-pepper_plain	data/reference/moderate_cannabis_pink-pepper.fa	B2	config/candidate_enzymes.txt	300	600	1	2000	hard	4	1	10	moderate_cannabis_pink-pepper_B2_cached	false	radigest-screen-pairs-cached	Five-enzyme smoke/proof-of-wiring pair-screen job-scaling run; not used for reviewer speedup claims because only 10 pairs are evaluated.
pair_screen_scaling_cannabis_pink-pepper_B2_30enz_jobs1	moderate_cannabis_pink-pepper_plain	data/reference/moderate_cannabis_pink-pepper.fa	B2	config/candidate_enzymes_30.txt	300	600	1	2000	hard	1	1	10	moderate_cannabis_pink-pepper_B2_cached_30enz	true	radigest-bench-screen-cached	Thirty-enzyme phase-timed cached pair-screen score-phase baseline on the moderate public Cannabis Pink Pepper reference; evaluates 435 candidate pairs. Uses radigest-bench-screen-cached with --reuse-index and --output-mode none so speedup is based on score_pairs_seconds, not end-to-end output time.
pair_screen_scaling_cannabis_pink-pepper_B2_30enz_jobs2	moderate_cannabis_pink-pepper_plain	data/reference/moderate_cannabis_pink-pepper.fa	B2	config/candidate_enzymes_30.txt	300	600	1	2000	hard	2	1	10	moderate_cannabis_pink-pepper_B2_cached_30enz	true	radigest-bench-screen-cached	Thirty-enzyme phase-timed cached pair-screen score-phase 2-job run on the moderate public Cannabis Pink Pepper reference; evaluates 435 candidate pairs. Uses radigest-bench-screen-cached with --reuse-index and --output-mode none so speedup is based on score_pairs_seconds, not end-to-end output time.
pair_screen_scaling_cannabis_pink-pepper_B2_30enz_jobs4	moderate_cannabis_pink-pepper_plain	data/reference/moderate_cannabis_pink-pepper.fa	B2	config/candidate_enzymes_30.txt	300	600	1	2000	hard	4	1	10	moderate_cannabis_pink-pepper_B2_cached_30enz	true	radigest-bench-screen-cached	Thirty-enzyme phase-timed cached pair-screen score-phase 4-job run on the moderate public Cannabis Pink Pepper reference; evaluates 435 candidate pairs. Uses radigest-bench-screen-cached with --reuse-index and --output-mode none so speedup is based on score_pairs_seconds, not end-to-end output time.
pair_screen_scaling_cannabis_pink-pepper_B2_30enz_jobs8	moderate_cannabis_pink-pepper_plain	data/reference/moderate_cannabis_pink-pepper.fa	B2	config/candidate_enzymes_30.txt	300	600	1	2000	hard	8	1	10	moderate_cannabis_pink-pepper_B2_cached_30enz	true	radigest-bench-screen-cached	Thirty-enzyme phase-timed cached pair-screen score-phase 8-job run on the moderate public Cannabis Pink Pepper reference; evaluates 435 candidate pairs. Uses radigest-bench-screen-cached with --reuse-index and --output-mode none so speedup is based on score_pairs_seconds, not end-to-end output time.
