reference_id	display_name	accession	source_type	output_gzip	output_plain	required_for_nonempirical	notes
small_yeast_s288c	Saccharomyces cerevisiae S288C R64 small reference	GCF_000146045.2	ncbi_datasets	data/reference/small_yeast_s288c.fa.gz	data/reference/small_yeast_s288c.fa	true	Small public yeast reference for matched digest, screening smoke tests, and input-format checks.
moderate_cannabis_pink-pepper	Cannabis sativa Pink Pepper ASM2916894v1 moderate reference	GCA_029168945.1	ncbi_datasets	data/reference/moderate_cannabis_pink-pepper.fa.gz	data/reference/moderate_cannabis_pink-pepper.fa	true	Moderate-size public Cannabis sativa Pink Pepper reference for scaling and pair-screening checks.
large_wheat_chinese-spring	Triticum aestivum Chinese Spring IWGSC CS RefSeq v2.1 large reference	GCF_018294505.1	ncbi_datasets	data/reference/large_wheat_chinese-spring.fa.gz	data/reference/large_wheat_chinese-spring.fa	true	Required large-reference wheat assembly for nonempirical performance runs; included in make references.
sockeye_oner_uvic_2_0	Oncorhynchus nerka Oner Uvic 2.0 empirical reference	GCF_034236695.1	ncbi_datasets	data/reference/sockeye_oner_uvic_2_0.fa.gz	data/reference/sockeye_oner_uvic_2_0.fa	false	Sockeye reference genome GCF_034236695.1_Oner_Uvic_2.0 for empirical EcoRI-MseI BAM/TLEN benchmarking.
trichoderma_asm2064779v1	Trichoderma ASM2064779v1 empirical reference	GCF_020647795.1	ncbi_datasets	data/reference/trichoderma_asm2064779v1.fa.gz	data/reference/trichoderma_asm2064779v1.fa	false	Trichoderma reference genome GCF_020647795.1_ASM2064779v1 for empirical SphI-MspI BAM/TLEN benchmarking.
anopheles_darlingi_gcf943734745	Anopheles darlingi GCF_943734745.1 empirical reference	GCF_943734745.1	ncbi_datasets	data/reference/anopheles_darlingi_gcf943734745.fa.gz	data/reference/anopheles_darlingi_gcf943734745.fa	false	Public Anopheles darlingi reference for PRJNA298241 EcoRI-MseI external empirical validation.
rhododendron_molle_gca025413875	Rhododendron molle empirical reference GCA_025413875.1	GCA_025413875.1	ncbi_datasets	data/reference/rhododendron_molle_gca025413875.fa.gz	data/reference/rhododendron_molle_gca025413875.fa	false	Public Rhododendron molle reference for DpnII-MspI ddRAD insert-size validation from Plants 14:1548 (doi:10.3390/plants14101548).
honeysuckle_gca021464415	Honeysuckle GCA_021464415.1 experimental reference	GCA_021464415.1	ncbi_datasets	data/reference/honeysuckle_gca021464415.fa.gz	data/reference/honeysuckle_gca021464415.fa	false	Optional honeysuckle reference for an experimental radigest-design worked example; not part of the default reviewer workflow.
bovine_umd_3_1_1	Bos taurus UMD 3.1.1 public BovineHD reference	GCF_000003055.6	ncbi_datasets	data/reference/bovine_umd_3_1_1.fa.gz	data/reference/bovine_umd_3_1_1.fa	false	Public Bos taurus UMD 3.1.1 reference for the BovineHD target-panel overlap demonstration.
