dataset_id	species	reference_fasta	bam_glob	enzyme1	enzyme2	nominal_min	nominal_max	score_min	score_max	mapq	notes
sockeye_ddrad	Oncorhynchus nerka	data/empirical/sockeye/reference.fa	data/empirical/sockeye/bam/*.bam	EcoRI	MseI	200	400	1	2000	20	Empirical recovery analysis; EcoRI+MseI; nominal window used in manuscript analysis is 200-400 bp. Confirm final reference assembly/accession before submission.
trichoderma_ddrad	Trichoderma atroviride	data/empirical/trichoderma/reference.fa	data/empirical/trichoderma/bam/*.bam	SphI	MspI	200	500	1	2000	20	Empirical recovery analysis; SphI+MspI; nominal window used in manuscript analysis is 200-500 bp. Confirm final reference assembly/accession before submission.
